"","license_id","license_licenseStr15","url_3","fotopng"
"1",30001166,"Thomas Scrubb","https://static.acb.com/img/www/jugadores2022/ScrubbCara.jpg","30001166.png"
"2",30000289,"Laurynas Birutis","https://static.acb.com/img/www/jugadores2022/BirutisCara.jpg","30000289.png"
"3",30001167,"Fernando Zurbriggen","https://static.acb.com/img/www/jugadores2022/ZurbriggenCara.jpg","30001167.png"
"4",30001117,"Henry Ellenson","https://static.acb.com/img/www/jugadores2022/EllensonCara.jpg","30001117.png"
"5",30001238,"Norris Cole","https://static.acb.com/img/www/jugadores2022/ColeCara.jpg","30001238.png"
"6",20210941,"Viny Okouo","https://static.acb.com/img/www/jugadores2022/OkouoCara.jpg","20210941.png"
"7",20209226,"Alberto Díaz","https://static.acb.com/img/www/jugadores2022/AlbertoDiazCara.jpg","20209226.png"
"8",20200282,"Álvaro Muñoz","https://static.acb.com/img/www/jugadores2022/AlvaroMunozCara.jpg","20200282.png"
"9",30000039,"Dejan Kravic","https://static.acb.com/img/www/jugadores2022/KravicCara.jpg","30000039.png"
"10",20211641,"Vitor Benite","https://static.acb.com/img/www/jugadores2022/BeniteCara.jpg","20211641.png"
"11",30001224,"Aleksej Nikolic","https://static.acb.com/img/www/jugadores2022/NikolicCara.jpg","30001224.png"
"12",30001112,"Guerschon  Yabusele","https://static.acb.com/img/www/jugadores2022/YabuseleCara.jpg","30001112.png"
"13",20204097,"Thomas Heurtel","https://static.acb.com/img/www/jugadores2022/HeurtelCara.jpg","20204097.png"
"14",30001225,"Kristian  Kullamaee","https://static.acb.com/img/www/jugadores2022/KullamaeCara.jpg","30001225.png"
"15",30001113,"Nigel Williams-Goss","https://static.acb.com/img/www/jugadores2022/William-GossCara.jpg","30001113.png"
"16",20210497,"Marc Garcia","https://static.acb.com/img/www/jugadores2022/MarcGarciaCara.jpg","20210497.png"
"17",20212416,"Vincent Poirier","https://static.acb.com/img/www/jugadores2022/PoirierCara.jpg","20212416.png"
"18",20211614,"Jeff Taylor","https://static.acb.com/img/www/jugadores2022/TaylorCara.jpg","20211614.png"
"19",30001130,"Matt Mobley","https://static.acb.com/img/www/jugadores2022/MobleyCara.jpg","30001130.png"
"20",20211297,"Adam Waczynski","https://static.acb.com/img/www/jugadores2022/WaczynskiCara.jpg","20211297.png"
"21",30001131,"Hans Vanwijn","https://static.acb.com/img/www/jugadores2022/VanwijnCara.jpg","30001131.png"
"22",20210853,"Ramon Vilà","https://static.acb.com/img/www/jugadores2022/VilaCara.jpg","20210853.png"
"23",30000030,"Kenan Sipahi","https://static.acb.com/img/www/jugadores2022/SipahiCara.jpg","30000030.png"
"24",30000291,"Ziga Samar","https://static.acb.com/img/www/jugadores2022/SamarCara.jpg","30000291.png"
"25",30000909,"Kyle Alexander","https://static.acb.com/img/www/jugadores2022/AlexanderCara.jpg","30000909.png"
"26",30000927,"Kwan Cheatham","https://static.acb.com/img/www/jugadores2022/CheathamCara.jpg","30000927.png"
"27",30000294,"Leo Meindl","https://static.acb.com/img/www/jugadores2022/MeindlCara.jpg","30000294.png"
"28",30000293,"Obi Emegano","https://static.acb.com/img/www/jugadores2022/EmeganoCara.jpg","30000293.png"
"29",20212959,"Thad McFadden","https://static.acb.com/img/www/jugadores2022/McFaddenCara.jpg","20212959.png"
"30",30000954,"James Webb III","https://static.acb.com/img/www/jugadores2022/WebbCara.jpg","30000954.png"
"31",20210335,"Sergi Martínez","https://static.acb.com/img/www/jugadores2022/SergiMartinezCara.jpg","20210335.png"
"32",20211947,"Nico Laprovittola","https://static.acb.com/img/www/jugadores2022/LaprovittolaCara.jpg","20211947.png"
"33",20200277,"Augusto Lima","https://static.acb.com/img/www/jugadores2022/LimaCara.jpg","20200277.png"
"34",30001217,"Rokas Jokubaitis","https://static.acb.com/img/www/jugadores2022/JokubaitisCara.jpg","30001217.png"
"35",20209892,"Rinalds Malmanis","https://static.acb.com/img/www/jugadores2022/MalmanisCara.jpg","20209892.png"
"36",30001219,"Landry Nnoko","https://static.acb.com/img/www/jugadores2022/NnokoCara.jpg","30001219.png"
"37",30001116,"Wade Baldwin IV","https://static.acb.com/img/www/jugadores2022/BaldwinCara.jpg","30001116.png"
"38",20210254,"Bojan Dubljevic","https://static.acb.com/img/www/jugadores2022/DubljevicCara.jpg","20210254.png"
"39",20201901,"Víctor Claver","https://static.acb.com/img/www/jugadores2022/ClaverCara.jpg","20201901.png"
"40",20210392,"Josep Puerto","https://static.acb.com/img/www/jugadores2022/JosepPuertoCara.jpg","20210392.png"
"41",20211129,"Jaime Pradilla","https://static.acb.com/img/www/jugadores2022/PradillaCara.jpg","20211129.png"
"42",30001137,"Amine Noua","https://static.acb.com/img/www/jugadores2022/NouaCara.jpg","30001137.png"
